ID,Sirsi Value,Preferred Label,URI
c407f35f-a955-375e-b527-bf25851f77db,map,maps (documents),http://vocab.getty.edu/aat/300028094
d0adf431-e7c8-3207-81f4-f9a623abc9e4,memoir,memoirs,http://vocab.getty.edu/aat/300202559
336f2db7-f247-3433-aadc-3024520192f2,microscope slide,slides (microscopy),http://vocab.getty.edu/aat/300380440
72584f75-e75a-35cb-8db9-45099d955fd1,model,models (representations),http://vocab.getty.edu/aat/300047753
7fadcb79-049d-3f6d-a740-8a9b4fbca2f0,motion picture,motion pictures (visual works),http://vocab.getty.edu/aat/300136900
a292a4e5-05f5-325e-a5a1-9518a4e594d2,newspaper,newspapers,http://vocab.getty.edu/aat/300026656
caac7a0a-1215-3206-9174-38446640c32c,nonmusical sound,sound recordings,http://vocab.getty.edu/aat/300028633
2ffd5845-ffb6-3801-9b8e-cef3281efe06,novel,novels,http://vocab.getty.edu/aat/300202580
n65,numeric data,,
597f1cef-dd4f-3ac3-a5b7-d5af4e22f643,offprint,offprints,http://vocab.getty.edu/aat/300262918
687c8b97-630f-3462-87ea-7147e45142ac,online system or service,information retrieval services,http://vocab.getty.edu/aat/300150744
cb0eb103-3074-38a6-a5f3-201a47723519,patent,patents,http://vocab.getty.edu/aat/300027832
a4dd63e2-071d-3baf-9bb0-55165c605e2f,periodical,periodicals,http://vocab.getty.edu/aat/300026657
0d8e31f4-14de-3224-9098-31f9446bc3a6,picture,pictures (object genre),http://vocab.getty.edu/aat/300264388
2d06af65-db74-362b-9da2-6d09233fbf88,playing cards,playing cards,http://vocab.getty.edu/aat/300211294
3f020d30-fd72-3364-91da-19e2c4377033,poetry,poetry,http://vocab.getty.edu/aat/300055931
bfae3ac0-097d-375f-ad4f-51c5cb9ddf4e,postcard,postcards,http://vocab.getty.edu/aat/300026816
c87ee674-4ddc-3efe-a74e-dfe25da5d7b3,programmed text,,
095aef9f-697a-31c1-a840-6f69c1afa421,puzzle,puzzles (recreational artifacts),http://vocab.getty.edu/aat/300211207
170a0c9a-e846-3159-b192-b059e6bba944,realia,realia,http://vocab.getty.edu/aat/300265419
n77,rehearsal,,
d52fc30e-da87-3397-9c0f-7a2e7d701bcf,remote sensing image,remote sensing,http://vocab.getty.edu/aat/300137339
9a391812-667c-3f8b-adc3-27266fcd6a68,reporting,reporting,http://vocab.getty.edu/aat/300137552
1b023a1b-3fba-3ef2-9662-3d4021ef732a,representational,method of representation (information indicator),http://vocab.getty.edu/aat/300404459
8e2f58e3-5b78-3860-ab8c-1bd5e4d401c6,review,reviews (documents),http://vocab.getty.edu/aat/300026480
598e38df-f713-399b-a87c-65dd0613e875,script,scripts (documents),http://vocab.getty.edu/aat/300026487
38cba441-3df1-30f1-9c8e-44d897520fc5,series,series (object groupings),http://vocab.getty.edu/aat/300027349
f6e60328-bbd4-3511-9b1b-3db3e747fe1c,short story,short stories,http://vocab.getty.edu/aat/300202607
ec750fdb-6b38-32f4-9341-9cf39c81dec5,slide,slides (photographs),http://vocab.getty.edu/aat/300128371
9de19f41-2741-3582-8d1e-9297a356e381,sound,sound (acoustics),http://vocab.getty.edu/aat/300056060
5058b373-afe6-3e35-b65b-1059ba12c2d3,speech,speeches (compositions),http://vocab.getty.edu/aat/300417595
4dbd4769-fa52-3ff8-8926-89ccf2d6f7bf,standard or specifications,specifications,http://vocab.getty.edu/aat/300027723
n89,statistics,,
n90,survey of literature,,
837a0a3a-118c-3aaa-9444-faf2c13d0bb6,technical report,technical reports,http://vocab.getty.edu/aat/300027323
fce4e7c4-78d3-3d93-bc93-cc2e7e09fd9d,thesis,theses,http://vocab.getty.edu/aat/300028028
84aef2cc-e6c8-3751-8211-341c8bb6a8ff,toy,toys (recreational artifacts),http://vocab.getty.edu/aat/300211037
89679fc1-46b8-3c19-978e-ebdb10da5df1,transparency,transparencies,http://vocab.getty.edu/aat/300127478
c36a83df-a53a-37d9-ac39-6f6feb6351b8,treaty,treaties,http://vocab.getty.edu/aat/300027956
4233b7e2-339f-3c45-a2ad-682b7dd4a547,videorecording,video recordings (physical artifacts),http://vocab.getty.edu/aat/300028682
a9efeaa8-cf79-36c6-a579-4cd5bf46478c,wall map,wall maps,http://vocab.getty.edu/aat/300440746
79f2a797-112f-3ab2-ad8b-00b744b34fa2,web site,Web sites,http://vocab.getty.edu/aat/300265431
type01,text,texts (documents),http://vocab.getty.edu/aat/300263751
type02,cartographic,cartographic materials,http://vocab.getty.edu/aat/300028052
type03,notated music,musical notation,http://vocab.getty.edu/aat/300417622
type04,sound recording-nonmusical,sound recordings,http://vocab.getty.edu/aat/300028633
type05,sound recording-musical,sound recordings,http://vocab.getty.edu/aat/300028633
type06,still image,images (object genre),http://vocab.getty.edu/aat/300264387
type07,moving image,moving images,http://vocab.getty.edu/aat/300263857
type08,three dimensional object,artifacts (object genre),http://vocab.getty.edu/aat/300117127
type09,"software, multimedia",software,http://vocab.getty.edu/aat/300028566
type10,mixed material,multiple materials (materials for groups),http://vocab.getty.edu/aat/300404821
