ID,Sirsi Value,Preferred Label,URI
215094ff-a3f9-3cce-962d-d6fec36bc2bf,Gloria in excelsis Deo (Music),Gloria in excelsis Deo (Music),http://id.loc.gov/authorities/subjects/sh85055322
1b18d6fc-7e8e-36f1-a78f-dfb124791482,"Choruses (Men's voices, 4 parts) with piano","Choruses (Men's voices, 4 parts) with piano",http://id.loc.gov/authorities/subjects/sh85024965
610aeedc-648e-32de-9368-0687e871f536,Bugle,Bugle,http://id.loc.gov/authorities/subjects/sh85017678
25a33095-878f-3c14-a678-43080cbd2f1b,Lakes,Lakes,http://id.loc.gov/authorities/subjects/sh85074030
ac52ff5f-0289-31b5-868b-5cc44dab5a94,Sacred vocal duets with organ,Sacred vocal duets with organ,http://id.loc.gov/authorities/subjects/sh85116274
085c6801-1329-3c6a-8cf9-b4cb3990ece5,Summer,Summer,http://id.loc.gov/authorities/subjects/sh85130432
6f7bb770-b272-32ec-98d3-c457082bfbd3,African Americans in popular culture,African Americans in popular culture,http://id.loc.gov/authorities/subjects/sh95003035
d92ed4f7-419f-3f39-b832-d908edf76fca,Excerpts,Excerpts,http://id.loc.gov/authorities/subjects/sh99001547
fa054f38-9e8e-3f4e-8002-6e9bc8507a5f,"Excerpts, Arranged","Excerpts, Arranged",http://id.loc.gov/authorities/subjects/sh99001548
e9f7f4e9-158f-3740-9c4d-34ff2d144a95,"Folk songs, English","Folk songs, English",http://id.loc.gov/authorities/subjects/sh85049971
218de7d5-1e22-3a48-8a81-5aa1575feca4,Organ music,Organ music,http://id.loc.gov/authorities/subjects/sh85095468
f623e5cd-eb4d-3859-be2f-bc209fb7f1a3,Cello music,Cello music,http://id.loc.gov/authorities/subjects/sh85143679
45431e41-01a7-352f-be86-9e652c57e4e9,Trombone music,Trombone music,http://id.loc.gov/authorities/subjects/sh85138012
511801e1-796c-3fce-a6c7-fd905415f4c7,Marches (Organ),Marches (Organ),http://id.loc.gov/authorities/subjects/sh85080995
a7f5788f-2281-3b84-a7cb-13c694167091,Cotillions,Cotillions,http://id.loc.gov/authorities/subjects/sh85033284
81d039b2-940c-36c7-9cc6-13cdb1472e03,"Choruses, Sacred (Mixed voices)","Choruses, Sacred (Mixed voices)",http://id.loc.gov/authorities/subjects/sh85024794
215877f0-54a3-32a7-9938-62de0c511531,Masses,Masses,http://id.loc.gov/authorities/subjects/sh85081963
7a2eab8b-f0b8-30b3-9519-13c404c96938,Sea songs,Sea songs,http://id.loc.gov/authorities/subjects/sh85119250
c63c75bf-c2e8-3f41-8185-e08475be5356,"Choruses, Sacred (Mixed voices) with organ","Choruses, Sacred (Mixed voices) with organ",http://id.loc.gov/authorities/subjects/sh85024820
5a001a7c-9837-36a5-9575-0b6e3f8a6cea,Vespers (Music),Vespers (Music),http://id.loc.gov/authorities/subjects/sh85142939
0aadf4ee-cb60-3d1a-92ac-f38a621d05e6,Magnificat (Music),Magnificat (Music),http://id.loc.gov/authorities/subjects/sh85079800
15843cbe-91c3-3b69-9930-5bdf77612ea8,Songs (Low voice) with instrumental ensemble,Songs (Low voice) with instrumental ensemble,http://id.loc.gov/authorities/subjects/sh85125165
1ff23362-b48b-3aeb-85df-481709ca8012,Old age,Old age,http://id.loc.gov/authorities/subjects/sh85094506
524dbad3-daf9-33bc-9765-8a04c1ca96be,Mothers and sons,Mothers and sons,http://id.loc.gov/authorities/subjects/sh85087539
5ef3350f-ff5d-3d31-9df1-7097df6077c2,Battles,Battles,http://id.loc.gov/authorities/subjects/sh85012434
cba09f3d-d586-319d-852a-fa15cbf0bfbc,Juvenile,Juvenile,http://id.loc.gov/authorities/subjects/sh99001685
f94785eb-2291-3cfa-be4f-24a1010fee60,Tinkers,Tinkers,http://id.loc.gov/authorities/subjects/sh85135526
13691963-76db-3e0e-ad44-c79a0faf4a4e,Songs,Songs,http://id.loc.gov/authorities/subjects/sh85125040
d538acd5-6e12-3780-8b0a-0e38cb562f9c,"Piano music, Arranged","Piano music, Arranged",http://id.loc.gov/authorities/subjects/sh85101791
742ff282-bd05-3e8e-a3c8-657fab92a115,"Choruses, Secular (Men's voices, 4 parts) with piano","Choruses, Secular (Men's voices) with keyboard ensemble",http://id.loc.gov/authorities/subjects/sh85024877
56acfd6e-a2a8-37b0-8897-acbb0f5be8e4,Daisies,Daisies,http://id.loc.gov/authorities/subjects/sh85035476
1db5351b-d99f-3e3d-92e0-b01348a13536,Piano score (4 hands),Piano scores (4 hands),http://id.loc.gov/authorities/subjects/sh99001265
536e2d66-e3e7-3850-9b4c-062ab7f8be32,"Choruses, Secular (Unison) with piano","Choruses, Secular (Unison) with piano",http://id.loc.gov/authorities/subjects/sh85024933
3212d0a3-48ba-33a1-8c90-d0b78fcaacfe,Games,Games,http://id.loc.gov/authorities/subjects/sh85052948
2db431b3-fbf7-3a56-baf5-78b30f37cd24,"Bull Run, 1st Battle of, Va., 1861","Bull Run, 1st Battle of, Va., 1861",http://id.loc.gov/authorities/subjects/sh85017942
ac0b38d1-7caa-36b8-9b4c-946c1692fa8a,Songs {High voice) with piano,Songs (High voice) with piano,http://id.loc.gov/authorities/subjects/sh85125149
3b56e622-134f-3316-9d15-7de5d0f6c257,Fathers,Fathers,http://id.loc.gov/authorities/subjects/sh85047451
bf93f7e9-52c4-3b26-bb28-ba3bcadfca1e,Poor children,Poor children,http://id.loc.gov/authorities/subjects/sh85104852
3c00fe61-0de1-379f-9185-f257b267d9ca,Fashion,Fashion,http://id.loc.gov/authorities/subjects/sh85047377
c0cabb84-d393-30ac-a413-c9a36206c766,Drinking songs,Drinking songs,http://id.loc.gov/authorities/subjects/sh85039592
95c003d2-65ab-3c8d-b945-e3b1afc234ae,Constancy,Constancy,http://id.loc.gov/authorities/subjects/sh85031307
db9ddeda-0e7d-39e8-8bf8-dd051da132f3,Promises,Promises,http://id.loc.gov/authorities/subjects/sh85107412
5f141153-3815-3ad7-baec-b397c4444c01,Military deserters,Military deserters,http://id.loc.gov/authorities/subjects/sh85037155
fe0c53e6-4617-3649-ae3e-20a960f247c0,Tarantellas,Tarantellas,http://id.loc.gov/authorities/subjects/sh85132463
29e5ed80-1611-365e-b845-efbd89538d4e,Weddings,Weddings,http://id.loc.gov/authorities/subjects/sh85145906
a6d53e8d-b81e-3a61-bca4-402b97fb98a9,Friendship,Friendship,http://id.loc.gov/authorities/subjects/sh85051992
28b2b147-9476-3719-95ba-a6ae117e6b95,Teaching pieces,Teaching pieces,http://id.loc.gov/authorities/subjects/sh99001771
