pid,catalog_key
uva-lib:1003556,u4765713
uva-lib:1003558,u4773997
uva-lib:1003559,u4773977
uva-lib:1003560,u4773860
uva-lib:1003561,u4773492
uva-lib:1003562,u4773812
uva-lib:1003563,u4773869
uva-lib:1003564,u4773896
uva-lib:1003566,u4773963
uva-lib:1003567,u4765712
uva-lib:1003572,u4721186
uva-lib:1003573,u4721191
uva-lib:1003576,u4718959
uva-lib:1003578,u4718003
uva-lib:1003582,u3873974
uva-lib:1003583,u4776278
uva-lib:1003584,u4776273
uva-lib:1003587,u4757727
uva-lib:1003589,u4755167
uva-lib:1003590,u4754998
uva-lib:1003594,u4752250
uva-lib:1003595,u4751079
uva-lib:1003596,u4751076
uva-lib:1003599,u4765714
uva-lib:1003603,u4691162
uva-lib:1003608,u4757720
uva-lib:1003619,u4753397
uva-lib:1003621,u4753424
uva-lib:1003622,u4776269
uva-lib:1003623,u4776272
uva-lib:1003625,u4757723
uva-lib:1003629,u4779589
uva-lib:1003631,u4776270
uva-lib:1003633,u4776268
uva-lib:1003634,u4776188
uva-lib:1003640,u4780198
uva-lib:1003647,u2002130
uva-lib:1003673,u4506991
uva-lib:1003678,u4506989
uva-lib:1003684,u4475421
uva-lib:1003685,u4594119
uva-lib:1003693,u3545105
uva-lib:1003699,u4509281
uva-lib:1003701,u4595352
uva-lib:1003703,u4342336
uva-lib:1003723,u4506390
uva-lib:770589,u3544938
uva-lib:1003726,u2959145
uva-lib:710281,u2716440
uva-lib:1003727,u2123213
tsb:2500,u1790906
uva-lib:1003733,u3545115
tsb:3002,u2091463
tsb:3009,u3795347
tsb:3109,u2884151
uva-lib:1003785,u2915700
uva-lib:770664,u2622424
uva-lib:831516,u4775658
uva-lib:770557,u3928018
tsb:6091,u2328978
uva-lib:616716,u2037111
uva-lib:616726,u2339493
uva-lib:616733,u4454970
uva-lib:616734,u2437570
uva-lib:616741,u4466673
uva-lib:616751,u218121
uva-lib:616763,u4470080
uva-lib:616764,u4470081
uva-lib:616765,u4470083
uva-lib:616766,u4470084
uva-lib:616770,u3545097
uva-lib:616800,u4471567
uva-lib:616816,u4472942
uva-lib:616831,u4472941
uva-lib:616835,u4472940
uva-lib:616838,u4311183
uva-lib:616840,u4454718
uva-lib:616841,u4454735
uva-lib:616842,u4454736
uva-lib:616849,u4456042
uva-lib:616850,u4456668
uva-lib:616863,u4465014
uva-lib:616865,u4465017
uva-lib:616866,u4465015
uva-lib:616917,u2037111
uva-lib:616918,u3819118
uva-lib:616919,u3726296
uva-lib:616920,u3545963
uva-lib:616924,u2475984
uva-lib:616925,u4335076
uva-lib:616926,u2435493
tsb:6431,u201044
uva-lib:616957,u2438182
uva-lib:616958,u2031292
uva-lib:616965,u4456669
uva-lib:616968,u4466526
uva-lib:616969,u4466526
uva-lib:616976,u4800123
uva-lib:616977,u4797811
uva-lib:616980,u4859552
uva-lib:616981,u4859428
uva-lib:616982,u4859434
uva-lib:616990,u4787516
uva-lib:1003968,u4879899
uva-lib:1003985,u4857545
uva-lib:1003986,u4857546
uva-lib:1003989,u4819150
uva-lib:1003998,u4796721
uva-lib:1004001,u4796715
uva-lib:1004093,u4470227
uva-lib:1004175,u1907655
uva-lib:1004181,u1907655
uva-lib:1004182,u4868100
uva-lib:1004184,u4866126
uva-lib:1004185,u4869565
uva-lib:1004187,u4868101
uva-lib:1004188,u4850935
uva-lib:1004193,u4813478
uva-lib:1004194,u4810012
uva-lib:1004197,u4802193
uva-lib:1004199,u4797813
uva-lib:1004200,u4797810
uva-lib:1004201,u4801335
uva-lib:1004207,u4801960
uva-lib:1004210,u4808203
uva-lib:1004215,u4866151
uva-lib:1004216,u2394600
uva-lib:1004219,u4868102
uva-lib:1004220,u4850972
uva-lib:1004221,u4824053
uva-lib:1004222,u4813070
uva-lib:1004223,u4813094
uva-lib:1004228,u2477419
uva-lib:770688,u2339537
uva-lib:770689,u2339537
uva-lib:770690,u2363354
uva-lib:770691,u2359967
uva-lib:770692,u2361325
uva-lib:1004246,u4470085
uva-lib:1004247,u2402567
uva-lib:1004254,u4466670
uva-lib:1004255,u4470133
uva-lib:1004256,u4470088
uva-lib:1004259,u4474665
uva-lib:1004269,u4043090
uva-lib:1004270,u4043090
uva-lib:1004271,u4043093
uva-lib:605562,u829541
uva-lib:1004275,u836247
uva-lib:1004288,u4814904
uva-lib:1004289,u4819164
uva-lib:600005,u4850815
uva-lib:600013,u4813080
uva-lib:600014,u4820739
uva-lib:600015,u4820793
uva-lib:600017,u4854431
uva-lib:600018,u4854468
uva-lib:600019,u4850616
uva-lib:600020,u4850814
uva-lib:600021,u4834070
uva-lib:600024,u4822724
uva-lib:600030,u4868094
uva-lib:600031,u4879897
uva-lib:600032,u4879897
uva-lib:600033,u4879897
uva-lib:600034,u4879897
uva-lib:600036,u4869583
uva-lib:600037,u4850919
uva-lib:600038,u4850970
uva-lib:600039,u4824062
uva-lib:600043,u4820713
uva-lib:600045,u4813315
uva-lib:602670,u4609266
uva-lib:602672,u4609264
uva-lib:602673,u1971965
uva-lib:602674,u1971915
uva-lib:606692,u2032376
uva-lib:606693,u2032554
uva-lib:606694,u2036308
uva-lib:606695,u2036269
uva-lib:616021,u2032545
uva-lib:1004315,u4850972
uva-lib:1004321,u5006750
uva-lib:1004324,u821334
uva-lib:677621,u3901593
uva-lib:701335,u2036365
uva-lib:701475,u2942212
uva-lib:705752,u4977286
uva-lib:705753,u4977283
uva-lib:705754,u4977331
uva-lib:705755,u5008062
uva-lib:705756,u4897121
uva-lib:705770,u4510975
uva-lib:705771,u4375073
uva-lib:707366,u2339552
uva-lib:711624,u378977
uva-lib:712489,u5067678
uva-lib:712499,u3545108
uva-lib:712511,u4897996
uva-lib:717978,u2811723
uva-lib:718759,u2811715
uva-lib:729518,u3545792
uva-lib:729524,u4594095
uva-lib:729536,u3545109
uva-lib:729546,u4719134
uva-lib:729569,u2264037
uva-lib:729599,u2262175
uva-lib:729611,u2285786
uva-lib:729612,u2268606
uva-lib:729613,u2268607
uva-lib:729614,u2363442
uva-lib:729615,u2254202
uva-lib:729624,u2225144
uva-lib:729646,u2862865
uva-lib:729650,u2244127
uva-lib:730671,u2317671
uva-lib:730672,u2353772
uva-lib:730699,u2229525
uva-lib:730700,u2265950
uva-lib:730701,u2247022
uva-lib:730703,u2262566
uva-lib:730704,u4038484
uva-lib:730706,u2285793
uva-lib:730707,u2306449
uva-lib:730708,u2228008
uva-lib:730710,u2358754
uva-lib:730711,u2358658
uva-lib:730713,u2359559
uva-lib:730714,u2360858
uva-lib:730717,u2244131
uva-lib:730718,u2361139
uva-lib:730719,u2358944
uva-lib:730720,u2228009
uva-lib:730721,u2265944
uva-lib:730722,u2285791
uva-lib:730723,u2300546
uva-lib:730729,u2290506
uva-lib:730838,u2253025
uva-lib:730839,u2255593
uva-lib:730840,u2353695
uva-lib:735041,u4348636
uva-lib:735046,u5069581
uva-lib:738683,u2366967
uva-lib:738686,u2265945
uva-lib:738689,u2255584
uva-lib:743038,u1785732
tsb:8615,u201044
uva-lib:743707,u5122069
uva-lib:743709,u5124439
uva-lib:743715,u5123378
uva-lib:743719,u5089868
uva-lib:743721,u3735685
uva-lib:743723,u4699724
uva-lib:743724,u4697604
uva-lib:743725,u4697603
uva-lib:743726,u4344944
uva-lib:743728,u5009368
uva-lib:743729,u5009409
uva-lib:743730,u4900982
uva-lib:743731,u4895896
uva-lib:743732,u4951854
uva-lib:743733,u4510973
uva-lib:743735,u4893795
uva-lib:744445,u4345547
uva-lib:744446,u4345329
uva-lib:744460,u4345272
uva-lib:745506,u2300555
uva-lib:745507,u2333789
uva-lib:747313,u5079324
uva-lib:751549,u2297622
uva-lib:751550,u2262177
uva-lib:753228,u2358945
uva-lib:753229,u2341173
uva-lib:763929,u2267513
uva-lib:768792,u5157968
uva-lib:768793,u5150084
uva-lib:768798,u5157706
uva-lib:768802,u5149908
uva-lib:768804,u5136542
uva-lib:768805,u5136536
uva-lib:768806,u5136545
uva-lib:768808,u5157814
uva-lib:768810,u5149468
uva-lib:768811,u5158443
uva-lib:768815,u5150047
uva-lib:768816,u5150048
uva-lib:768817,u5149912
uva-lib:768818,u5149517
uva-lib:773537,u2358946
uva-lib:774166,u2245727
uva-lib:774167,u2245728
uva-lib:774168,u2245729
uva-lib:777122,u2262208
uva-lib:777123,u2357886
uva-lib:777124,u2285867
